tub,treatment,frequency,leq_test,leq_ambient,Leq
2,Loud,1320,-68.44,-75.8,7.36
2,Loud,1330,-68.31,-75.84,7.53
2,Loud,1340,-68.18,-75.89,7.71
2,Loud,1350,-68.06,-75.94,7.88
2,Loud,1360,-67.94,-75.99,8.05
2,Loud,1370,-67.84,-76.05,8.21
2,Loud,1380,-67.76,-76.11,8.35
2,Loud,1390,-67.69,-76.17,8.48
2,Loud,1400,-67.65,-76.24,8.59
2,Loud,1410,-67.61,-76.3,8.69
2,Loud,1420,-67.59,-76.36,8.77
2,Loud,1430,-67.55,-76.41,8.86
2,Loud,1440,-67.51,-76.46,8.95
2,Loud,1450,-67.44,-76.51,9.07
2,Loud,1460,-67.35,-76.55,9.2
2,Loud,1470,-67.21,-76.58,9.37
2,Loud,1480,-67.03,-76.61,9.58
2,Loud,1490,-66.82,-76.64,9.82
2,Loud,1500,-66.57,-76.65,10.08
2,Loud,1510,-66.3,-76.67,10.37
2,Loud,1520,-66.03,-76.68,10.65
2,Loud,1530,-65.75,-76.69,10.94
2,Loud,1540,-65.48,-76.69,11.21
2,Loud,1550,-65.23,-76.7,11.47
2,Loud,1560,-65.01,-76.7,11.69
2,Loud,1570,-64.81,-76.7,11.89
2,Loud,1580,-64.65,-76.7,12.05
2,Loud,1590,-64.51,-76.7,12.19
2,Loud,1600,-64.41,-76.7,12.29
2,Loud,1610,-64.33,-76.7,12.37
2,Loud,1620,-64.27,-76.7,12.43
2,Loud,1630,-64.23,-76.69,12.46
2,Loud,1640,-64.19,-76.69,12.5
2,Loud,1650,-64.15,-76.68,12.53
2,Loud,1660,-64.1,-76.68,12.58
2,Loud,1670,-64.03,-76.67,12.64
2,Loud,1680,-63.93,-76.67,12.74
2,Loud,1690,-63.8,-76.66,12.86
2,Loud,1700,-63.63,-76.66,13.03
2,Loud,1710,-63.43,-76.66,13.23
2,Loud,1720,-63.19,-76.66,13.47
2,Loud,1730,-62.94,-76.66,13.72
2,Loud,1740,-62.68,-76.67,13.99
2,Loud,1750,-62.41,-76.68,14.27
2,Loud,1760,-62.14,-76.7,14.56
2,Loud,1770,-61.9,-76.71,14.81
2,Loud,1780,-61.68,-76.73,15.05
2,Loud,1790,-61.48,-76.75,15.27
2,Loud,1800,-61.33,-76.77,15.44
2,Loud,1810,-61.21,-76.79,15.58
2,Loud,1820,-61.14,-76.8,15.66
2,Loud,1830,-61.11,-76.82,15.71
2,Loud,1840,-61.14,-76.83,15.69
2,Loud,1850,-61.21,-76.83,15.62
2,Loud,1860,-61.32,-76.84,15.52
2,Loud,1870,-61.49,-76.84,15.35
2,Loud,1880,-61.71,-76.84,15.13
2,Loud,1890,-61.98,-76.84,14.86
2,Loud,1900,-62.3,-76.84,14.54
2,Loud,1910,-62.66,-76.84,14.18
2,Loud,1920,-63.06,-76.85,13.79
2,Loud,1930,-63.51,-76.86,13.35
2,Loud,1940,-63.99,-76.87,12.88
2,Loud,1950,-64.5,-76.89,12.39
2,Loud,1960,-65.04,-76.92,11.88
2,Loud,1970,-65.59,-76.95,11.36
2,Loud,1980,-66.14,-76.99,10.85
